Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Colombia,MtCO2e,46.23,47.93,50.28,52.43,52.43,55.21,55.17,59.82,60.13,53.08,55.02,55.52,53.52,52.62,52.92,54.62,54.05,55.25,56.41,59.88,61.19,66.65,66.56,76.92,79.81,79.61,87.41
Uzbekistan,MtCO2e,114.9,118.8,111.2,112.2,106.3,94.6,95.7,97,112.6,113.8,114,115.4,119.7,115.1,112,107.2,109.6,109.9,109.9,99.9,97.7,106.4,108.3,96.9,98.4,88.6,85.4
Chile,MtCO2e,29.73,28.53,30.4,31.06,34.22,37.36,43.06,49.56,50.26,52.66,48.76,46.86,47.56,48.56,53.56,54.61,55.81,63.43,66.88,64.25,68.65,75.55,77.41,82.01,75.65,81.35,85.25
Qatar,MtCO2e,12.4,14.36,14.4,15.3,16,16.8,17.6,19.2,20.5,22.5,21.2,23.05,27.05,28.35,31.35,40.75,44.26,50.18,53.85,55.66,61.02,63.49,70.97,72.52,77.97,79.07,80.47
Bangladesh,MtCO2e,11.5,10.8,11.8,12.6,13.5,16.5,16.7,18.7,18.9,19.6,20.9,24.9,26.5,27.8,29.8,32,35.2,37.2,40.8,44.1,50.1,53.3,57.5,59.9,63,70.9,73.3
Turkmenistan,MtCO2e,44.7,37.8,27.7,26.3,32.6,33.3,29.5,29.9,30.5,35.4,36.6,37.9,39.7,44.3,46.6,48,49.46,55.9,56.5,49.9,57,62.58,65.31,66.66,68.47,70.47,70.37
Romania,MtCO2e,168.3,139.7,123.8,114.9,112.3,117.7,120.9,110.6,96.5,82.8,86.2,91.3,91,97,93.8,92.6,95.3,92.3,91,77.5,74.8,80.9,78.5,69.2,68.4,69.4,68
Oman,MtCO2e,11.61,15.69,14.65,13.69,13.22,15.14,15.38,16.75,16.78,19.86,22.04,24.75,26.34,26.68,26.48,26.95,36.22,39.46,38.06,41.07,44.8,50.34,56.7,59.18,62.49,66.49,65.99
Israel,MtCO2e,32.8,33.4,35.6,39.1,42,44.9,47.1,49.3,49.4,50.7,55,56.1,59.3,61,61.23,58.84,62.15,64.45,64.55,63.85,68.35,67.75,73.85,65.15,62.85,64.55,63.85
Greece,MtCO2e,69.8,70.2,72.41,72.3,73.8,76.5,76.4,77.4,80.7,81,87.9,90.1,90.2,93.7,93.5,95.1,94.1,98,94.3,90.1,83.5,82.1,77,69,65.7,64.6,63.2
