Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Burkina Faso,MtCO2e,10.63,10.63,10.63,10.63,10.63,10.63,10.63,10.63,10.63,10.63,10.63,8.8,8.8,8.8,8.8,8.8,11,11,11,11,11,8.8,8.8,8.8,8.8,8.8,8.8
Ghana,MtCO2e,20.44,20.44,20.44,20.44,20.44,20.44,20.43,20.43,20.43,20.43,20.43,37.51,37.51,37.51,37.51,37.51,-7.19,-7.19,-7.2,-7.2,-7.2,8.21,8.2,8.33,8.2,8.2,8.2
Panama,MtCO2e,8.61,8.61,8.61,8.61,8.61,8.61,8.55,8.55,8.55,8.55,8.55,8.96,9.1,8.96,8.98,8.95,8.32,8.28,8.18,8.18,8.18,8.18,8.29,8.29,8.18,8.4,8.18
Namibia,MtCO2e,7.79,7.79,7.79,7.79,7.79,7.79,8.53,8.46,8.68,8.63,9.05,7.91,7.92,7.9,7.94,7.9,7.92,7.97,7.98,7.99,7.93,7.98,8,7.98,7.95,7.99,7.97
Guatemala,MtCO2e,15.25,15.25,15.25,15.25,15.25,15.25,15.25,15.25,15.25,15.25,15.25,15.18,15.18,15.18,15.18,15.18,15.91,15.91,15.91,15.91,15.91,7.48,7.48,7.48,7.48,7.48,7.48
Mexico,MtCO2e,17.23,17.23,17.23,17.23,17.23,17.23,17.23,17.23,17.23,17.23,17.23,17.6,17.6,17.6,17.6,17.6,11,11,11,11,11,7.33,7.33,7.33,7.33,7.33,7.33
Côte d'Ivoire,MtCO2e,-4.73,-4.73,-4.73,-4.73,-4.73,-4.73,-4.78,-4.78,-4.74,-4.76,-4.76,-8.07,-8.06,-7.92,-8.06,-8.02,6.74,6.75,6.75,6.7,6.65,6.64,6.69,6.72,6.7,6.74,6.66
Togo,MtCO2e,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.57,6.57,6.57,6.57,6.57,6.46,6.46,6.46,6.46,6.46,6.56,6.56,6.56,6.56,6.56,6.56
Finland,MtCO2e,-24.38,-24.38,-24.38,-24.38,-24.38,-24.38,-24.34,-24.37,-24.37,-24.37,-24.37,-15.58,-15.54,-15.38,-15.33,-15.3,-19.44,-19.49,-19.44,-19.41,-19.38,6.53,6.5,6.52,6.55,6.54,6.55
Nepal,MtCO2e,33.93,33.93,33.93,33.93,33.93,33.93,33.29,33.26,33.35,33.67,33.41,29.1,28.76,29.81,29.12,29.62,3.13,3.06,3.73,4.54,3.77,3.34,4.3,3.96,4.4,3.13,6.54
Mali,MtCO2e,6.54,6.54,6.54,6.54,6.54,6.54,6.54,6.54,6.54,6.54,6.54,6.53,6.53,6.53,6.53,6.53,6.53,6.53,6.53,6.53,6.53,6.54,6.54,6.54,6.54,6.54,6.54
Timor-Leste,MtCO2e,3.57,3.57,3.57,3.57,3.57,3.57,3.57,3.57,3.57,3.57,3.57,6.74,6.74,6.74,6.74,6.74,7.43,7.43,7.43,7.43,7.43,6.1,6.1,6.1,6.1,6.1,6.1
Sierra Leone,MtCO2e,5.69,5.69,5.69,5.69,5.69,5.69,5.69,5.69,5.69,5.69,5.69,5.7,5.7,5.7,5.7,5.7,5.69,5.69,5.69,5.69,5.69,5.68,5.68,5.68,5.68,5.68,5.68
Equatorial Guinea,MtCO2e,5.32,5.32,5.32,5.32,5.32,5.32,5.32,5.32,5.32,5.32,5.32,5.35,5.35,5.35,5.35,5.35,5.43,5.43,5.43,5.43,5.43,5.35,5.35,5.35,5.35,5.35,5.35
Japan,MtCO2e,-76.3,-76.3,-76.3,-76.3,-76.3,-76.3,-76.3,-76.31,-76.31,-76.31,-76.31,-41.15,-41.16,-41.13,-41.17,-41.22,-144.66,-144.85,-144.95,-145.05,-145.19,4.71,4.64,4.6,4.54,4.5,4.45
Senegal,MtCO2e,6.97,6.97,6.97,6.97,6.97,6.97,6.97,6.97,6.97,6.97,6.97,6.6,6.6,6.6,6.6,6.6,5.87,5.87,5.87,5.87,5.87,4.4,4.4,4.4,4.4,4.4,4.4
Malawi,MtCO2e,6.51,6.51,6.51,6.51,6.51,6.51,6.96,6.96,6.97,6.78,7.23,8.15,7.28,7.33,7.13,7.21,6.29,6.44,6.41,6.61,6.71,4.17,4.16,4.19,4.22,4.24,4.07
Burundi,MtCO2e,8.97,8.97,8.97,8.97,8.97,8.97,8.51,8.62,8.8,8.61,8.76,5.65,6.42,6.61,5.96,5.44,-0.4,-0.8,-0.34,-0.17,-0.28,3.13,2.94,3.14,2.87,2.85,3.33
Suriname,MtCO2e,3.6,3.6,3.6,3.6,3.6,3.6,2.79,2.92,3.27,2.65,2.53,2.57,3.75,6.1,5.02,3.05,3.33,2.82,3.63,4.14,3.32,3.41,3.42,3.7,3.68,4.63,3.33
Belize,MtCO2e,5.87,5.87,5.87,5.87,5.87,5.87,4.66,4.49,4.68,4.63,4.59,6.01,7.71,7.73,5.86,7.46,6.01,7.45,6.46,5.47,7.04,4.02,1.94,4.74,2.05,3.07,2.82
Sri Lanka,MtCO2e,3.61,3.61,3.61,3.61,3.61,3.61,3.61,3.61,3.61,3.61,3.61,4.85,4.85,4.85,4.85,4.85,2.29,2.27,2.27,2.26,2.26,2.84,2.84,2.82,2.81,2.81,2.81
Hungary,MtCO2e,1.61,1.61,1.61,1.61,1.61,1.61,1.56,1.56,1.57,1.56,1.58,3.38,3.23,3.23,3.15,3.11,0.97,1.04,0.98,0.91,0.9,2.16,2.23,2.08,2.19,2.08,2.08
Solomon Islands,MtCO2e,1.69,1.69,1.69,1.69,1.69,1.69,1.69,1.69,1.69,1.69,1.69,1.69,1.69,1.69,1.69,1.69,1.61,1.61,1.61,1.61,1.61,1.98,1.98,1.98,1.98,1.98,1.98
Portugal,MtCO2e,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,5.59,5.59,5.71,5.6,5.63,-0.13,-0.13,-0.13,-0.13,-0.12,1.63,1.63,1.63,1.63,1.63,1.63
Guinea-Bissau,MtCO2e,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,2.2,2.2,2.2,2.2,2.2,1.48,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47
Niger,MtCO2e,6.97,6.97,6.97,6.97,6.97,6.97,6.97,6.97,6.97,6.97,6.97,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47
Liberia,MtCO2e,15.02,15.02,15.02,15.02,15.02,15.02,15.01,15.01,15.01,15.01,15.01,15.02,15.02,15.02,15.02,15.02,15.02,15.02,15.02,15.1,15.02,1.35,1.4,1.34,1.34,1.34,1.34
Estonia,MtCO2e,-4.07,-4.07,-3.94,-3.94,-3.94,-3.94,-3.92,-3.93,-3.93,-3.93,-3.93,3.41,3.68,3.49,3.5,3.47,-2.01,-2.13,-2.12,-2.12,-2.09,1.11,1.13,1.15,1.12,1.13,1.12
Rwanda,MtCO2e,9.36,9.36,9.36,9.36,9.36,9.36,8.89,8.98,8.97,8.89,8.78,-9.95,-10.02,-8.61,-9.57,-9.09,-0.61,-1.41,-0.4,-1.1,-0.89,0.2,-0.03,0.7,-0.17,1.19,1.03
El Salvador,MtCO2e,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.88,0.88,0.88,0.88,0.88,0.83,0.83,0.83,0.83,0.83,0.73,0.73,0.73,0.73,0.73,0.73
Eritrea,MtCO2e,1.32,1.32,1.32,1.23,1.23,1.23,1.22,1.22,1.22,1.22,1.22,0.62,0.62,0.62,0.62,0.62,0.59,0.6,0.59,0.69,0.59,0.67,0.67,0.67,0.67,0.67,0.67
South Africa,MtCO2e,1.99,1.99,1.99,1.99,1.99,1.99,0.99,0.94,1.19,1.01,1.02,1.19,1.94,1.93,1.97,2.45,2.05,1.98,1.97,2.62,2.32,2.08,2.42,1.79,2.65,2.4,0.66
Jamaica,MtCO2e,0.44,0.44,0.44,0.44,0.44,0.44,0.41,0.4,0.4,0.4,0.41,0.5,0.45,0.44,0.43,0.43,0.59,0.54,0.4,0.53,0.4,0.42,0.48,0.49,0.43,0.43,0.5
Brunei,MtCO2e,1.9,1.9,1.9,1.9,1.9,1.9,2,2.13,5.06,1.94,1.95,1.92,1.87,1.97,1.85,1.87,1.83,1.83,1.82,1.84,1.83,0.34,0.34,0.34,0.4,0.38,0.42
Bahamas,MtCO2e,-1.45,-1.45,-1.45,-1.45,-1.45,-1.45,-1.45,-1.45,-1.45,-1.45,-1.45,-0.97,-0.97,-0.97,-0.97,-0.97,4.91,4.91,4.91,4.91,4.91,0.35,0.35,0.35,0.35,0.35,0.35
Eswatini,MtCO2e,0.11,0.11,0.11,0.11,0.11,0.11,0.15,0.14,0.15,0.14,0.14,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
Haiti,MtCO2e,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.15,0.15,0.15,0.15,0.15,0.16,0.16,0.16,0.16,0.16,0.14,0.14,0.14,0.14,0.14,0.14
