Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Honduras,MtCO2e,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2
Haiti,MtCO2e,0.1,0.1,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.1,0.1,0.1
Kiribati,MtCO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyrgyzstan,MtCO2e,0.3,0.2,0.2,,,0.2,0.2,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.4,0.9,0.7,0.9,1,0.8,0.2,0.1,0.1,,0.3,0.3
North Korea,MtCO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laos,MtCO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lesotho,MtCO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liberia,MtCO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,
Libya,MtCO2e,0.8,0.9,0.9,1,1.1,1.2,1.9,1.8,1.9,1.9,2.2,1.5,1.4,1.5,1.7,1.7,2.2,2.2,2.1,1.9,1.8,0.5,1.8,1.2,0.7,0.5,0.5
Liechtenstein,MtCO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,MtCO2e,39.5,41,41.9,40.7,41.3,42.2,44.2,46.6,47.1,49,51.2,54.8,54.8,52,56.5,60,63.4,64.8,62.9,56.4,53.8,57.5,53.3,51.7,51.5,50.9,50.8
Russia,MtCO2e,32.5,23.1,21.4,18.2,15.2,14.1,13.2,13.1,12.3,12.7,13.4,13.8,14.3,14.5,14.3,15.4,16.3,16.4,17.5,17.5,23.5,28.7,25.4,34.5,64,57.5,48.2
Panama,MtCO2e,5.1,5.6,6.1,6.4,6.7,6.7,7.1,7.6,8.2,8.4,8.6,8.9,9,9,8.9,8,9,7.9,11.2,9.5,10.7,11.8,12,12,11.9,13.6,14.7
Mexico,MtCO2e,5.3,5.5,6.1,7.1,9.6,9.4,9.3,9.7,11.1,11.9,12,11.8,10.6,10.8,11.1,11.3,11.8,12.6,12.7,10.4,10.7,11.1,11.6,11.6,12.3,12.9,13.9
