Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Algeria,MtCO2e,68.8,67.79,67.08,74.35,72.41,73.9,72.3,73.72,75.39,78.4,79.46,75.27,80.88,84.37,85.43,89.53,87.05,93.8,98.07,106.27,106.25,117.6,125.91,129.34,138.4,146.39,143.59
Peru,MtCO2e,64.56,63.59,64.6,65.39,66.19,69.27,71.22,71.87,70.57,72.48,71.96,69.75,70.91,70.48,74.77,76.99,100.43,105.19,107.93,110.73,115.42,118.52,118.57,119.7,122.9,124.36,126.71
Colombia,MtCO2e,196.39,198.07,200.79,203.27,203.89,206.48,204.18,208.44,209.2,201.73,203.82,225.07,223.25,228.14,227.03,226.09,219.12,221.08,221.23,224.37,225.85,86.43,86.6,97.15,102.86,101.61,126.26
Cameroon,MtCO2e,118.46,118.21,118.15,122.25,122.94,122.76,118.38,118.7,118.83,118.64,119.09,119.53,118.54,122.54,121.29,125.29,119.45,123.09,124.45,123.4,121.85,121.14,119.61,125.46,121.79,124.44,124.13
Myanmar,MtCO2e,107.29,107.2,107.41,107.97,108.8,110.02,108.84,108.39,109.81,110.95,111.51,86.52,85.9,89.48,91.06,88.92,89.9,89.73,85.65,86.78,88.85,102.85,106.39,109.66,112.68,116.34,117.64
Angola,MtCO2e,93.08,93.29,93.15,93.65,93.48,97.54,93.65,91.1,95.36,92.07,94.98,83.71,100.58,110.65,118.75,116.58,99.94,119.35,104.23,108.19,111.34,135.86,110.49,122.82,110.29,125.8,107.14
Bolivia,MtCO2e,83.04,83.05,84.08,85.01,86.22,85.54,85.16,85.21,85.67,85.06,85.44,84.57,85.08,85.84,86.38,87.04,98.13,99.06,100.04,100.85,102.19,100.07,101.94,102.29,103.8,103.77,105.77
Bangladesh,MtCO2e,35.11,34.48,35.38,36.18,37.19,40.19,40.17,42.28,42.76,43.82,45.5,48.96,50.7,51.94,54.66,55.96,49.19,51.12,57.14,60.19,68.17,79.33,82.52,85.77,89.14,97.7,99.59
Malaysia,MtCO2e,173.6,181.2,187.25,189.64,195.29,202.21,210.59,218.41,236.7,224.51,233.82,261.22,275.94,283.89,304.56,316.76,147.9,170.15,180.31,176.03,188.48,67.29,66.39,83.67,109.4,96.94,93.58
Kuwait,MtCO2e,29.46,35.98,23.22,29.4,34,34.08,33.1,34.29,40.23,44.26,47.66,51.34,54.01,56.07,58.91,67.27,69.62,68.69,72.87,79.46,78.06,79.46,78.36,88.31,83.3,92.43,92.03
Belgium,MtCO2e,105.29,110.05,108.45,106.45,111.34,110.92,115.88,112.93,115.54,111.58,113.8,114.74,107.28,112.01,110.61,107.01,105.81,102.18,104.03,96.89,103.58,92.91,92.22,93.42,87.32,92.23,91.31
Czech Republic,MtCO2e,137.57,124.27,121.54,118.38,112.1,112.6,114.12,112.19,106.38,99.38,110.56,110.39,106.16,110.44,111.08,107.68,113.8,116.8,111.55,104.32,107.22,98.6,94.85,90.36,87.42,88.59,90.53
Qatar,MtCO2e,12.51,14.58,14.72,15.52,16.29,16.99,17.88,19.47,20.79,23,21.77,23.52,27.64,28.96,31.94,41.27,45.02,51.05,55.21,57.13,62.27,65.36,72.78,74.48,80.06,81.06,82.56
Ecuador,MtCO2e,57.9,58.46,59.5,58.41,59.34,62.11,64.8,65.83,65.69,61.66,63.48,56.17,56.69,56.58,59.39,61.06,62.73,63.53,63.85,65.9,69.02,69.38,70.68,72.8,75.65,74.29,72.49
Uzbekistan,MtCO2e,112.55,116.35,111.42,112.3,106.23,93.87,94.76,96.13,112.02,113.12,113.21,114.62,118.83,114.13,111.67,106.9,110.53,111.13,111.31,101.39,99.2,92.77,94.56,83.24,84.99,75.56,72.26
Turkmenistan,MtCO2e,44.6,37.8,28.15,26.65,32.88,33.48,29.68,29.98,30.58,35.78,36.88,37.79,39.59,44.09,46.53,48.06,49.72,56.16,56.89,50.42,57.34,63.41,66.31,67.77,69.47,71.73,71.63
Oman,MtCO2e,11.93,16.1,14.95,14.1,13.8,15.61,15.78,17.25,17.3,20.44,22.52,25.27,26.97,27.68,27.51,27.88,37.49,40.96,39.49,42.51,46.31,52.21,58.37,60.73,64.13,68.2,67.7
Sudan,MtCO2e,61.6,61,60.73,59.43,60.89,60.69,50.07,51.84,53.65,52.31,53.55,88.99,108.83,84.68,103.1,94.84,66.98,66.66,70.45,100.54,75.62,91.07,61.24,60.98,61.05,63.24,66.54
Greece,MtCO2e,74.95,75.1,77.45,77.36,79,82.14,82.01,83.04,86.36,86.6,93.68,95.96,95.83,99.39,99.19,101.28,99.96,103.57,99.92,94.02,86.82,83.82,79.35,71.76,68.75,67.18,66.09
Israel,MtCO2e,33.9,34.6,37.01,40.57,43.52,46.91,48.88,51.03,51.6,53.08,57.06,57.85,61.05,62.81,63.11,60.92,64.32,66.62,66.72,65.77,70.48,69.73,76.03,67.35,65.17,66.61,65.91
Philippines,MtCO2e,38.25,37.68,41.06,44.81,48.9,59.2,64.89,72.64,72.25,69.79,70.52,82.98,84.19,86.03,87.59,89.4,100.24,104.02,106.23,107.03,113.02,24.16,27.7,37.4,44.04,53.33,64.23
Morocco,MtCO2e,12.97,14.65,16.43,17.13,19.33,20.42,20.08,21.55,22.2,23.81,24.54,27.39,28.7,28.71,32.63,34.94,46.9,48.41,50.94,51.32,54.4,56.37,58.65,58.23,59.67,61.71,61.61
