Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Cyprus,MtCO2e,0.67,0.63,0.69,0.75,0.78,0.75,0.81,0.78,0.74,0.74,0.76,0.74,0.77,0.75,0.81,0.82,0.82,0.81,0.82,0.67,0.56,0.55,0.5,0.75,0.97,0.88,0.88
Hungary,MtCO2e,1.75,1.1,0.86,1.02,1.18,1.19,1.11,1.17,1.22,1.22,1.35,1.36,1.43,1.41,1.29,1.2,1.3,1.33,1.26,0.97,0.74,0.56,0.68,0.52,0.57,0.68,0.71
Benin,MtCO2e,0.12,0.13,0.15,0.21,0.19,0.24,0.15,0.08,0.08,0.08,0.1,0.1,0.1,0.1,0.1,0.1,0.59,0.6,0.52,0.51,0.5,0.56,0.53,0.55,0.54,0.7,0.7
Georgia,MtCO2e,,,0.2,0.12,0.04,0.04,0.04,0.04,0.08,0.14,0.14,0.14,0.14,0.14,0.17,0.18,0.18,0.17,0.17,0.33,0.33,0.57,0.58,0.62,0.62,0.67,0.67
Honduras,MtCO2e,0.28,0.3,0.28,0.31,0.27,0.31,0.41,0.45,0.38,0.42,0.55,0.56,0.51,0.53,0.57,0.57,0.68,0.71,0.71,0.71,0.63,0.63,0.67,0.66,0.66,0.66,0.66
Cameroon,MtCO2e,0.26,0.21,0.25,0.25,0.2,0.22,0.12,0.25,0.3,0.35,0.36,0.39,0.37,0.38,0.41,0.4,0.39,0.44,0.38,0.42,0.39,0.44,0.49,0.54,0.5,0.62,0.62
Costa Rica,MtCO2e,0.27,0.3,0.3,0.37,0.4,0.37,0.36,0.4,0.46,0.47,0.45,0.51,0.5,0.47,0.62,0.82,0.57,0.92,0.84,0.83,0.5,0.55,0.54,0.57,0.58,0.62,0.62
Cuba,MtCO2e,1.29,0.86,0.86,0.45,0.46,0.63,0.62,0.73,0.73,0.76,0.7,0.56,0.56,0.56,0.58,0.64,0.69,0.72,0.68,0.64,0.64,0.68,0.71,0.65,0.61,0.59,0.59
Kyrgyzstan,MtCO2e,,,0.51,0.32,0.18,0.14,0.25,0.29,0.31,0.17,0.22,0.21,0.23,0.33,0.37,0.41,0.44,0.51,0.5,0.24,0.31,0.41,0.5,0.66,0.67,0.58,0.58
Cambodia,MtCO2e,,,,,0.04,0.04,0.08,0.06,0.06,,,,,,,,,0.03,0.29,0.36,0.3,0.34,0.37,0.4,0.53,0.57,0.57
Finland,MtCO2e,0.73,0.57,0.47,0.36,0.36,0.38,0.38,0.45,0.45,0.48,0.5,0.5,0.48,0.47,0.53,0.54,0.57,0.61,0.62,0.39,0.53,0.56,0.5,0.48,0.47,0.46,0.55
Bahrain,MtCO2e,0.06,0.06,0.09,0.09,0.09,0.08,0.08,0.07,0.09,0.06,0.03,0.03,0.02,0.05,0.14,0.14,0.14,0.14,0.16,0.25,0.43,0.46,0.47,0.47,0.52,0.52,0.52
Jamaica,MtCO2e,0.22,0.19,0.24,0.23,0.23,0.26,0.27,0.24,0.26,0.24,0.27,0.27,0.28,0.31,0.32,0.28,0.31,0.27,0.3,0.39,0.33,0.33,0.34,0.36,0.41,0.42,0.4
El Salvador,MtCO2e,0.28,0.29,0.18,0.37,0.37,0.38,0.41,0.44,0.46,0.44,0.45,0.5,0.56,0.58,0.52,0.46,0.53,0.52,0.52,0.48,0.51,0.52,0.54,0.47,0.39,0.39,0.39
